"fldName";"fldRecoverableOil";"fldRecoverableGas";"fldRecoverableNGL";"fldRecoverableCondensate";"fldRecoverableOE";"fldRemainingOil";"fldRemainingGas";"fldRemainingNGL";"fldRemainingCondensate";"fldRemainingOE";"fldDateOffResEstDisplay";"fldNpdidField";"DatesyncNPD"
"GINA KROG";"16.80";"11.80";"3.20";"0.00";"34.68";"16.80";"11.80";"3.20";"0.00";"34.68";"31.12.2016";"23384544";"27.06.2017"
"GJØA";"13.50";"36.00";"8.70";"0.00";"66.03";"2.50";"15.60";"4.20";"-0.80";"25.28";"31.12.2016";"4467574";"27.06.2017"
"GLITNE";"8.90";"0.00";"0.00";"0.00";"8.90";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"1272071";"27.06.2017"
"GOLIAT";"31.00";"0.00";"0.00";"0.00";"31.00";"28.00";"0.00";"0.00";"0.00";"28.00";"31.12.2016";"5774394";"27.06.2017"
"GRANE";"144.20";"0.00";"0.00";"0.00";"144.20";"37.50";"0.00";"0.00";"0.00";"37.50";"31.12.2016";"1035937";"27.06.2017"
"GUDRUN";"13.40";"7.90";"1.10";"0.00";"23.39";"5.80";"4.00";"0.50";"0.00";"10.75";"31.12.2016";"18116481";"27.06.2017"
"GULLFAKS";"379.10";"23.10";"2.80";"0.00";"407.52";"16.10";"0.00";"0.00";"0.00";"16.10";"31.12.2016";"43686";"27.06.2017"
"GULLFAKS SØR";"62.10";"84.70";"12.30";"0.00";"170.17";"11.70";"38.10";"6.20";"0.00";"61.58";"31.12.2016";"43699";"27.06.2017"
"GUNGNE";"0.30";"15.40";"2.20";"4.50";"24.38";"0.10";"0.50";"0.10";"0.10";"0.89";"31.12.2016";"43464";"27.06.2017"
"GYDA";"36.20";"6.20";"1.90";"0.00";"46.01";"0.10";"0.10";"0.00";"0.00";"0.20";"31.12.2016";"43492";"27.06.2017"
"HANZ";"2.30";"0.40";"0.10";"0.00";"2.89";"2.30";"0.40";"0.10";"0.00";"2.89";"31.12.2016";"25307278";"27.06.2017"
"HEIDRUN";"186.00";"49.00";"2.50";"0.00";"239.75";"31.10";"31.40";"2.00";"0.00";"66.30";"31.12.2016";"43771";"27.06.2017"
"HEIMDAL";"6.70";"46.00";"0.00";"0.00";"52.70";"0.10";"0.60";"0.00";"0.00";"0.70";"31.12.2016";"43590";"27.06.2017"
"HOD";"10.10";"1.80";"0.50";"0.00";"12.85";"0.40";"0.10";"0.20";"0.00";"0.88";"31.12.2016";"43485";"27.06.2017"
"HULDRA";"5.20";"17.30";"0.10";"0.00";"22.69";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"97002";"27.06.2017"
"HYME";"3.10";"0.90";"0.30";"0.00";"4.57";"1.30";"0.60";"0.20";"0.00";"2.28";"31.12.2016";"20474183";"27.06.2017"
"ISLAY";"0.00";"0.10";"0.00";"0.00";"0.10";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"21105675";"27.06.2017"
"IVAR AASEN";"23.30";"4.40";"0.90";"0.00";"29.41";"23.20";"4.40";"0.90";"0.00";"29.31";"31.12.2016";"23384520";"27.06.2017"
"JETTE";"0.40";"0.00";"0.00";"0.00";"0.40";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"21613906";"27.06.2017"
"JOHAN SVERDRUP";"282.30";"8.60";"3.80";"0.00";"298.12";"282.30";"8.60";"3.80";"0.00";"298.12";"31.12.2016";"26376286";"27.06.2017"
"JOTUN";"23.10";"0.90";"0.00";"0.00";"24.00";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"43604";"27.06.2017"
"KNARR";"9.90";"0.30";"0.50";"0.00";"11.15";"5.80";"0.10";"0.20";"0.00";"6.28";"31.12.2016";"20460988";"27.06.2017"
